,label,desc
22028,moon mist,Canadian ice cream flavour
22029,mr whippy,brand of soft-mix ice cream in the UK
22030,granular ice cream,ice cream with bead shape
22031,sorbet,frozen dessert
22032,granita,Italian dessert
22033,faloodeh,persian dessert
22037,italian ice,frozen dessert
22038,parfait,frozen dessert
22040,frozen yogurt,frozen dessert
22041,ice milk,Dish from the United States
22042,calippo,trademark
22043,sundae,"ice cream dessert; consists of scoops of ice cream topped with sauce or syrup, and in some cases other toppings including sprinkles, whipped cream, peanuts, maraschino cherries, or other fruits"
22044,golden opulence sundae,world-record most expensive sundae dessert
22045,bacon sundae,sundae prepared using typical sundae ingredients and bacon
22046,mcflurry,frozen dessert sold at McDonald's
22047,bubblegum squash mcflurry,McFlurry sold at McDonald's
22048,gelato,Italian style of ice cream
22049,semifreddo,Italian semi-frozen dessert
22050,panera,semifreddo (semi-frozen dessert) specialty of Genoa
22052,99 flake,ice cream cone with Cadbury Flake inserted
22053,bubble o bill,ice cream
22054,es teler,Indonesian dessert
22056,frozen banana,banana dessert
22057,golden gaytime,brand of ice cream snack
22058,huckabuck,homemade frozen dessert
22059,nutty buddy,US ice cream brand
22060,paddle pop,ice cream brand
22061,shaved ice,ice-based dessert
22062,snow cone,shaved ice dessert
22063,bingsu,Korean shaved ice dessert with sweet toppings
22064,kakigōri,Japanese shaved ice dessert
22065,ais kacang,Ais Kacang another variations of Air batu campur
22066,piragua,Puerto Rican dessert
22067,wibbly wobbly wonder,ice-cream product
22068,aisukurin,low-fat ice cream-like dessert
22070,choc ice,Frozen dessert
22071,boba ice cream bar,ice cream dessert
22073,ice buko,Filipino frozen dessert
22075,banana split,"ice cream-based dessert, consisting of a banana cut in half lengthwise with scoops of ice cream, drizzled sauces, crushed nuts, and a maraschino cherry"
22076,alaskan ice cream,Athabaskan dessert
22077,baked alaska,"dessert dish of ice cream, sponge cake and meringue"
22078,ice cream cake,cake filled with ice cream
22079,viennetta,brand of ice cream dessert
22080,fudgie the whale,Ice cream cake
22081,peach melba,type of dessert
22082,knickerbocker glory,type of ice cream
22083,bombe glacée,type of French ice cream dessert
22084,arctic zero,Company
22085,salpicón de frutas,Colombian fruit cocktail
22086,cendol,An Indonesian traditional drink from Jawa Tengah
22087,nuns puffs,dessert pastry
22088,floating island,French dessert consisting of a meringue floating on crème anglaise
22089,kirschenmichel,German dessert
22090,almond tofu,"Chinese dessert also popular in Hong Kong, Hong Kong, Taiwan, Japan, Malaysia and Singapore"
22092,miguelitos,food
22093,pumpkin coconut custard,a coconut custard steam-baked in a pumpkin or kabocha.
22094,tocino de cielo,Spanish egg dessert
22095,arnadí,"dessert typical of the region of Valencia in Spain, made of pumpkin and sugar"
22096,tulumba,dessert common to Turkey and the former countries of the Ottoman Empire
22097,turkish ring dessert,Turkish dessert with sherbet
22098,fruit fool,english dessert
22099,apple pie,type of pie filled with apples
22100,apple crumble pie,apple pie with a crumble top layer
22102,coconut bar,"white, chilled, gelatinous southern Chinese dessert"
22103,clafoutis,Crustless tart French dessert traditionally made with black cherries and batter
22104,milhard,kind of clafoutis
22106,crêpe suzette,French pancake dessert
22107,fried coke,Coca-Cola flavored batter that is fried and topped with various toppings
22108,profiterole,"choux pastry ball filled with whipped cream, pastry cream, or ice cream"
22109,cream puff,choux pastry filled with whipped cream or pastry cream
22110,windbeutel,German choux pastry ball
22111,coca de san juan,Spanish cake
22112,intxaursaltsa,basque dessert
22113,somlói galuska,Hungarian dessert
22114,ensaïmada,pastry product from Mallorca (Balearic Islandés)
22115,pavlova,dessert
22116,diplomat pudding,classic dessert
22117,syllabub,British dessert made with cream and wine
22118,güllaç,Turkish dessert
22119,halo halo,Filipino dessert
22120,hoppelpoppel,drink
22121,mämmi,Finnish Easter dessert
22122,mohnkuchen,poppy seed dessert
22123,moczka,Silesian Christmas Eve dish
22124,haagse bluf,Dutch dessert
22127,om ali,traditional Egyptian dessert
22128,mantecol,Argentine dessert brand
22129,flaugnarde,French dessert
22130,palmier,French pastry
22132,samanu,wheat dish from Iran and Central Asia
22133,picarones,Peruvian dessert
22134,croquignoles,French dessert
22135,tilslørte bondepiker,scandinavian dessert
22136,krentjebrij,Dutch traditional soup or porridge-like dessert
22137,qatayef,Qatayef dumplings
22138,natillas,custard dessert
22140,arrop i talladetes,Valencian dessert
22141,assidat zgougou,Tunisian dessert
22142,yemas de santa teresa,Sweet made with egg yolk and sugar exclusively
22147,falooda,liquid dessert
22148,arctic roll,British dessert
22149,dulce de batata,sweet potato jelly
22154,eton mess,English dessert
22155,molten chocolate cake,chocolate cake with a liquid chocolate center
22157,dadiah,Indonesian traditional fermented milk
22158,fios de ovos,Portuguese egg dessert
22159,apple cake,dessert
22161,gâteau invisible,French apple dessert
22162,mote con huesillo,Chilean drink
22163,rosogolla,syrupy dessert popular in the Indian subcontinent and regions with South Asian diaspora
22164,pets de sœurs,French-Canadian pastry
22165,poire à la beaujolaise,dessert
22169,tufahije,Bosnian dessert
22170,sellu,maroccan pastry
22171,sohlob,dessert
22174,vispipuuro,"dessert porridge made from semolina and berries, usually lingonberries"
22175,echaude,scalded pastry
22176,agnello pasquale,lamb-shaped Italian cake
22177,delizia al limone,Italian dessert
22178,diples,Greek dessert
22181,ice cream,"frozen dessert made from frozen milk or cream, sugar, and a flavour"
22182,sorbet,frozen dessert
22183,tiramisu,Italian dessert
22184,vla,Dutch dairy dessert made from fresh milk
22190,zuppa inglese,dessert of Italian cuisine
22191,panna cotta,"Italian dessert made by blending cream, sugar and gelatin"
22192,trifle,English dessert
22193,somlói galuska,Hungarian dessert
22194,quarkspeise,German trifle dessert
22195,custard,variety of culinary preparations based on a cooked mixture of milk or cream and egg yolk
22199,vla,Dutch dairy dessert made from fresh milk
22200,crème brûlée,custard dessert with hard caramel top
22201,crème caramel,custard dessert with soft caramel on top
22203,bavarian cream,custard sauce
22204,frozen custard,cold dessert
22205,frangipane,pastry cream
22206,crema catalana,Catalan dessert similar to crème brûlée
22207,crème anglaise,light pouring custard
22208,pastry cream,custard
22209,détrempe,pastry cream
22210,frangipane,pastry cream
22211,chiboust cream,crème pâtissière (pastry cream) lightened with Italian meringue
22212,mousseline cream,genre of pastry cream
22214,chiboust cream,crème pâtissière (pastry cream) lightened with Italian meringue
22215,quindim,Tipical Brazilian Dessert
22216,migaine,custard made with eggs and crème fraîche
22218,baba de moça,Brazilian dessert
22219,banana custard,pudding made with sliced bananas
22220,doce de ovos,Portuguese egg custard
22222,dulce de leche,sweet confection
22223,cajeta,confection of thickened syrup
22224,mont blanc,French dessert
22225,semifreddo,Italian semi-frozen dessert
22226,fruit curd,dessert spread and topping
22230,sanguinaccio dolce,Italian dessert made from pig's blood
22231,gelatin dessert,dessert made with gelatin
22233,kashi dofu,acorn starch jelly
22234,jello shot,gelatin and alcohol shot
22235,aspic,molded meat gelatin dish
22236,head cheese,cold cut non-dairy meat jelly or terrine
22237,blood tongue,German head cheese with tongue
22239,tlačenka,Czech and Slovak meat dish with brawn
22240,jello salad,"salad made with flavored gelatin, fruit, etc."
22241,jokpyeon,Korean aspic
22244,coffee jelly,jelly dessert flavored with coffee and sugar
22245,götterspeise,dessert originated in Germany
22246,jell o,gelatin dessert
22248,budino,Italian dessert
22249,bonet,Piedmontese dessert
22250,flummery,dessert pudding
22252,chantilly cream,sweet whipped cream
22255,birds custard,brand of imitation custard powder
22257,christmas cake,cake served at Christmas time
22258,genoa cake,"fruit cake from Genoa, Italy"
22260,stollen,German yeasted christmas sweet bread
22261,kerststol,Dutch oval-shaped fruited Christmas bread
22262,bremer klaben,"type of dried fruit filled bread from Bremen, Germany"
22263,st lucia bun,"Scandinavian dessert traditionally eaten on Saint Lucy's Day (13 Dec.), containing saffron and raisins, often in the form of a reversed S shape"
22264,christmas pudding,steamed pudding
22265,panettone,type of sweet bread loaf originally from Milan
22267,yule log,"traditional dessert sponge cake, made to resemble a miniature Yule log and traditionally served near Christmas"
22268,pandoro,Italian food
22269,panforte,"dessert from Siena, Italy"
22270,panpepato,"Italian round, sweet cake"
22271,christmas cookies,sweet pastries that are eaten during the Christmas season
22273,zedernbrot,kind of Christmas cake
22274,zimtstern,Christmas cookie common to German-speaking countries
22275,vanillekipferl,Traditional Christmas Cookie
22276,magenbrot,type of lebkuchen
22277,mailänderli,type of Swiss Christmas cookie
22280,brunsli,Swiss christmas cookie
22281,spitzbuben,Swiss christmas cookie
22282,thirteen desserts,traditional Christmas of Provence.
22284,panone,Italian Christmas Cake
22287,suspiro de limeña,dessert of Peruvian gastronomy
22290,pignoccata,Italian treat
22291,schiacciata con luva,Italian sweet flatbread
22292,sfinci di san giuseppe,Sicilian doughnut
22293,strucchi,Italian dessert
22294,sugoli,Italian dessert
22297,aam papad,fruit leather made out of mango pulp
22298,angel delight,dessert
22299,bülbülyuvası,Turkish dessert
22300,bika ambon,traditional Indonesian cake originating from Medan made from tapioca flour
22301,cherries jubilee,"dessert made with cherries, ice cream and liqueur"
22302,butter tart,Canadian dessert pastry
22303,chandrakala,Indian sweet
22304,cocktion,Jamaican dessert
22305,creme de papaya,Brazilian dessert
22306,crisp,type of dessert food
22307,mazamorra morada,Peruvian purple corn pudding
22308,kolak,Indonesian dessert
22309,dessert bar,"layered dessert, cut into bar shapes"
22310,lemon bar,lemon flavored dessert bar
22311,chocolate brownie,baked chocolate confection
22313,hash brownie,brownie made using cannabis
22314,caramel shortbread,Biscuit confectionery
22315,blondie,"rich, sweet dessert bar"
22316,nanaimo bar,dessert
22317,duckanoo,Caribbean cornmeal dessert
22320,filhó,South American dessert
22321,fánk,traditional Hungarian donut
22322,nucrem,Argentine dessert brand
22324,ras malai,Bengali sweet made with Indian cheese
22327,alfajores,Spanish cookie-like dessert
22332,borracho cake,Cakes of Spain
22333,bolla de chicharrones,Sweet made with chicharrones
22334,bollo maimón,"Typical sweet from the Spanish provinces of Salamanca, Zamora and León."
22337,chula,Spanish dessert
22346,poleá,chef
22349,dilber dudağı,Turkish dessert
22351,şıllık,Turkish dessert crepe filled with walnuts
22352,pumpkin dessert,"dessert from the Turkish cuisine, made with pumpkins."
22357,hoşmerim,cheese-based Turkish dessert
22360,postre balcarce,Argentine dessert
22365,ranfañote,Peruvian bread pudding
22376,torta loca,cake
22377,torta parda,typical sweet from Cádíz
22382,jaynagarer moa,"confectionery of West Bengal, India"
22383,kaju katli,Indian dessert similar to a barfi
22384,keşkül,milk and almond pudding from the Turkish cuisine
22385,khanom chan,ancient Thai dessert
22386,sweet coal,typical Christmas dessert
22388,hanımgöbeği,Turkish cuisine dessert
22389,kazandibi,Turkish dessert (sort of milk pudding)
22390,karsambaç,snow and pekmez or syrup (or honey) dessert
22391,malva pudding,South African sweet pudding
22392,moustalevria,Traditional Greek dessert
22393,quince dessert,Turkish dessert made with quince fruits
22394,roti tissue,Malay sweet flatbread
22395,layered rye bread,traditional Latvian dessert
22396,sütlü nuriye,Turkish dessert
22397,taro ball,traditional Taiwanese cuisine dessert made of taro
22398,deep fried taro ball,Chinese snack
22399,kalburabastı,Turkish dessert
22404,frutas de aragón,traditional Aragonese candy
22406,paparajotes,desert in Spanish cousine
22407,pasta marquesa,Christmas almond and marzipan pastries
22410,almond soup,Spanish dessert
22413,hořické roll,Czech dessert
22414,vargabéles,Hungarian dessert
22415,dom rodrigo,Portuguese dessert
22417,saffron pancake,"pudding dessert from the island of Gotland, Sweden"
22418,äggost,type of cheese based on milk and eggs that is eaten on festive occasions in Sweden
22419,bánh gai,Vietnamese cake
22421,timphan,Indonesian steamed banana dumpling
22423,ichigo daifuku,strawberry mochi dessert
22424,denpun dango,sweet Japanese snack
22426,uroko dango,Japanese sweet dumpling
22427,manjar blanco,term used in Spanish-speaking area of the world in reference to milk-based delicacies
22430,mel i mató,Catalan dessert
22433,termix,cheese dessert
22435,daheen,Iraqi dessert
22436,mafroukeh,Lebanese dessert
22437,carolina,"typical pastry of Vitoria, Spain"
22439,torpedo dessert,"buttery, flaky viennoiserie bread roll"
22440,mahalepi,Cypriot dessert
22442,khanom tom,Thai dessert
22443,pestil,Turkish dessert
22444,ducat buns,Czecho-Slovak dessert
22445,pastel de gloria,Colombian puff pastry
22446,hedgehog slice,no-bake fridge cake dessert
22447,batik cake,Hedgehog slice | Arretjes | Arretje Nof | Arretjescake | Kalter Hund | Kek Batik
22454,thong yot,Thai egg dessert
22455,duff,dessert
22456,şöbiyet,a yufka-based dessert from the Turkish cuisine
22457,pio quinto,desert in Nicaragua
22458,coconut drop,Jamaican cuisine dessert
22459,es buah,Indonesian iced fruit cocktail dessert
22460,fırın sütlaç,"oven-baked version of the Turkish rice pudding known as ""sütlaç"""
22461,tea dessert,food consumed while drinking tea
22463,costrada de alcalá,typical dessert from the city of Alcalá de Henares
22464,barongko pisang,"Makassar traditional dish of banana mixed with sugar, eggs and coconut milk"
22465,chipolata pudding,type of pudding
22466,kemalpaşa dessert,Turkish dessert
22467,nevzine dessert,Turkish dessert
22468,supangle,Turkish cuisine pudding dessert
22471,meuseukat,dodol-like cake found in Acehnese cuisine
22476,brisas do lis,Portuguese dessert
22477,sardinhas doces de trancoso,fish-shaped cakes
22479,cennet çamuru,dessert from the Turkish cuisine
22484,sholezard,Iranian dessert
22486,uyutma,traditional dried fruit and milk dessert of Turkey
22487,hoşaf,Turkish dried fruit compote
22489,battalia pie,large game pie
22490,deep fried oreo,Deep fried chocolate sandwich cookie
22491,cookie cake,dessert
22492,pinni,Punjabi dessert eaten mostly in winter
22494,tavioka,Fijian dessert
22495,turkish style semolina dessert,"Turkish cuisine dessert, generally served with ice cream, sometimes in the hollow inside"
22498,tamina,Algerian dessert
22499,laz böreği,Turkish dessert
22501,torta di fioretto,Italian dessert flavored with fioretto
22504,narkel naru,a sweet from Bengal
22505,chocolate dessert,dessert made primarily of chocolate
22506,chocolate mousse,dessert
22507,chocolate pot,culinary dish made from chocolate
22508,prinjolata,traditional dessert from Malta
22510,loukoumades,Greek fried dough dessert
22512,chhena mudki,Indian sweet
22513,erzurum kadaifi dolması,dessert
22514,queso helado,Peruvian ice cream dessert
22515,arroz zambito,Peruvian rice pudding
22518,buko salad,Filipino fruit salad dessert
22523,revani,Turkish cuisine dessert
22525,yassı kadayıf,Turkish dessert
22526,purple sweet potato haupia pie,Hawaiian dessert
22527,plombières,Frozen custard
22528,creamed turkish delights,dessert
22529,muhallebi with kadayıf,dessert
22533,sherbet,Soviet dessert
22537,raspberry tart,type of tart filled with raspberries
22538,barzón postre,dessert from Autol
22539,frittelle,Venetian doughnuts served during Carnival
22550,havannets,Argentine brand by Havanna
22551,kamalabhog,sweet of Bengal
22552,bingfen,Chinese dessert
22555,muyuchi,Peruvian dessert
22556,fruit pizza,circular tart featuring multiple fruit toppings
22557,rosbora,bengali cuisine
22562,doce de caju,dessert from Brazil
22569,kheer kamala,bengali cuisine
22570,nân e panjere,Middle Eastern and Middle Eastern-influenced rosette-like fried dough food
22571,javanais,Belgian dessert
22573,fruta de horno,type of traditional Mexican cookie
22574,dump cake,American dessert
22575,bungong kayee,"kind of dessert from Aceh, Indonesia"
22577,cakes and dessert bar,type of food
22578,candy covered fruit,type of product
22579,cordial,type of confection in which a fruit filling is placed within a chocolate shell
22580,ice cream novelty,type of dessert
22581,ice cream and frozen yogurt,product category
22584,buzynnyk,Elderberry dessert
22585,yum yum,glazed hand-twisted rope-shaped doughnut
22586,polvorosa,Cookie from Colombia and Venezuela
22587,turrón de vino,dessert of Chilean gastronomy
22588,baklava,Ottoman layered pastry dessert
22589,fondue,category of dishes in which different types of food are dipped into a warm liquid
22590,cheese fondue,dish of melted cheese into which cubes of bread are dipped
22591,mont dor chaud,hot cheese dish
22596,hot pot,Chinese and Southeast Asian dish
22597,sukiyaki,Japanese hot pot
22601,fondue bourguignonne,beef fondue originating in Burgundy
22602,fondue vigneronne,type of fondue with wine
22603,bushman fondue,South African dish
22604,seafood,"food from the sea, e.g. fish, shrimp, crab, mussel, seaweed"
22605,enduri pitha,steamed food of Odisha
22608,sole,fish name belonging to several families
22609,aqua amiri,Aqua Amiri store is an online marine products store that oprerates in Iran
22610,oyster,salt-water bivalve mollusc
22611,gillardeau oysters,oysters that are produced by the french Gillardeau family
22617,turbot,species of fish
22618,turbot fillet,fillet of a turbot
22619,sparus aurata,species of fish
22620,squid,"squid used as food, commonly eaten in the Mediterranean, in East Asia, and elsewhere"
22621,calamari sandwich,"Sandwich, with a filling of fried squid rings, popular in Madrid, Spain"
22622,microphyte,"microscopic algae, typically found in freshwater and marine systems, living in both the water column and sediment"
22623,perch,genus of fishes
22624,perch fillet,fillet of the perch fish
22625,fish as food,fish species used as food by humans
22627,wani ryori,"Japanese regional cuisine made from shark meat. ""wani"" means shark in ancient Japanese(but it means crocodile in modern Japanese)."
22628,frozen fish,method of canning fish
22629,sakambo and moro,shark meat
22630,tertiary fish,fish at the top of the food chain
22631,shark,clade of predatory cartilaginous fish (Chondrichthyes)
22634,mahi mahi,species of fish
22635,sockeye salmon,species of Pacific salmon
22636,fugu,various species of pufferfish
22638,atlantic salmon,species of fish
22639,aquadvantage salmon,genetically modified Atlantic salmon
22642,haddock,species of fish
22643,gadidae,family of fishes
22644,cod,"common name for any of the species of fish in the genus Gadus, and sometimes also some members of the families Euclichthyidae, Moridae and Muraenolepididae"
22645,cod fillet,fillet of a cod fish
22646,clupea,genus of fishes
22647,turbot,species of fish
22648,roe,eggs from fishes and other marine animals
22649,sparus aurata,species of fish
22651,chum salmon,species of Pacific salmon
22652,perch,genus of fishes
22653,pink salmon,species of Pacific salmon
22654,chinook salmon,species of Pacific salmon
22655,coho salmon,species of Pacific salmon
22656,common dab,species of fish
22657,common pandora,species of fish
22658,rose fish,species of rockfish from the North Atlantic
22659,rose fish filet,filet of the rose fish
22661,red snapper,species of fish
22662,red snapper,index of animals with the same common name
22663,trout,number of species of freshwater fish
22664,salmon trout,type of fish
22665,salmon trout fillet,fillet of the salmon trout
22666,trout caviar,eggs from the trout fish
22667,trout fillet,fillet of the trout fish
22669,parr,a trout of less than one year old
22671,carp,species of fish
22672,asian carp,several species of heavy-bodied cyprinid fish
22673,four cyprinid fishes,Four common cyprinid fishes from Asia
22674,carp fillet,fillet of a carp fish
22675,salmon,common idea of a fish in the trout family
22676,atlantic salmon,species of fish
22677,kroglaks,Danish name of a male salmon
22679,graved salmon,salmon preparation type
22680,salmon fillet,fillet of a salmon fish
22681,salmon cutlet,cutlet of a salmon fish
22682,pacific salmon,species of salmon in the genus Oncorhynchus that live in the North Pacific Ocean
22683,sockeye salmon,species of Pacific salmon
22684,chum salmon,species of Pacific salmon
22685,pink salmon,species of Pacific salmon
22686,chinook salmon,species of Pacific salmon
22687,coho salmon,species of Pacific salmon
22688,halibut,"common name, for edible fishes"
22689,smoked halibut,smoked fish
22690,herring,"forage fish, mostly belonging to the family Clupeidae"
22691,smoked herring,herring conserved by smoking
22692,pickled herring,traditional way of preserving herring
22693,salted herring,herring conserved with salt
22696,plaice,common name for a group of flatfish
22697,plaice fillet,fillet of a plaice fish
22698,flounder,group of fish species
22700,anchovy,flesh from anchovies
22701,blue backed fish,category of fish in Japanese cuisine
22702,sardine,"common names used to refer to various small, oily forage fish within the herring family of Clupeidae"
22706,eel,flesh from eels
22707,unagi,"the Japanese word for freshwater eel, a culinary ingredient"
22709,anago,conger eel in Japanese food
22711,eel head,head of eel
22712,eel intestine,intestine of eel
22713,eel tail,tail of eel
22714,fish product,food product produced from fish
22715,avruga caviar,"caviar substitute made from herring and squid ink, made without any fish roe"
22716,scrod,small cod or haddock used as food
22718,dried seafood,type of conserving food
22719,dried fish,fish preserved by drying
22720,katsuobushi,"dried, fermented, and smoked skipjack tuna"
22721,namaribushi,Semi-dried steamed bonito fillets
22722,stockfish,unsalted fish preserved by drying in cold air and wind
22724,stockfish tail,tail of a stockfish
22725,kusaya,Salted-dried and fermented fish produced in the Izu Islands
22726,tatami iwashi,food
22727,niboshi,Japanese dish of dried infant sardines
22730,mezashi,Japanese semi-dried finger-sized fish
22731,migaki nishin,dried herring
22735,cantonese salted fish,traditional Chinese food originating from Guangdong province
22736,usipa,dried fish eaten in Malawi and Mozambique
22738,dried and salted cod,cod which has been preserved by drying after salting
22739,dried squid,type of seafood
22743,fish fillet,the flesh of a fish which has been cut or sliced away from the bone by cutting lengthwise along one side of the fish parallel to the backbone
22744,anchovy fillet,fillet of anchovies
22749,red mullet,common name of different fishes
22750,machha jhola,fish curry in Bengali cuisine
22751,mackerel,flesh from mackerels
22752,salmon,flesh from salmon
22753,whitebait,immature fry of fish
22756,new zealand whitebait,juvenile forms of five species of the fish family Galaxiidae
22757,mackerel,pelagic fish
22758,fresh fish,fish as food
22759,sole,fish name belonging to several families
22760,monkfish,species of fish found in the Atlantic and Indian Oceans
22761,monkfish fillet,fillet of the monkfish
22762,monkfish tail,tail of the monkfish
22763,cod,"common name for any of the species of fish in the genus Gadus, and sometimes also some members of the families Euclichthyidae, Moridae and Muraenolepididae"
22765,herring,type of fish used as food for humans
22766,tuna,common name for a group of fishes
22767,ventrèche de thon,food ingredient
22768,chūtoro,fish product
22769,tuna filet,filet of a tuna fish
22770,bream,several species of freshwater and marine fish
22771,bream filet,filet of the bream fish
22772,preserved fish,fish treated by various methods to reduce spoilage
22773,salted fish,fish preserved or cured with salt
22774,gwamegi,korean dried fish preparation
22775,spekesild,salt cured herring
22776,aramaki,salted dry salmon
22777,salted herring,herring conserved with salt
22780,anchovy,flesh from anchovies
22781,canned fish,processed fish preserved in an airtight container
22785,cured fish,fish treated by curing to reduce spoilage
22786,smoked fish,fish preserved by smoking
22787,katsuobushi,"dried, fermented, and smoked skipjack tuna"
22788,buckling,fish
22789,smoked salmon,smoked food
22790,smoked haddock,Food preparation of the fish haddock
22791,arbroath smokie,"hot-smoked haddock from Arbroath, Angus, Scotland"
22792,finnan haddie,"cold-smoked haddock, representative of a regional method of smoking with green wood and peat in north-east Scotland"
22793,bloater,term for herring that is smoked whole
22794,cakalang fufu,Indonesian traditional food
22795,kipper,fish dish
22796,craster kipper,"esteemed smoked herring of Craster, England"
22797,traditional grimsby smoked fish,"regionally processed fish food products from the British fishing town of Grimsby, England"
22800,smoked halibut,smoked fish
22801,smoked herring,herring conserved by smoking
22802,katsuobushi,"dried, fermented, and smoked skipjack tuna"
22803,pickled herring,traditional way of preserving herring
22804,bokkoms,"whole, salted and dried mullet"
22806,smoked salmon,smoked food
22807,fermented fish,fish cured by fermentation to reduce spoilage
22808,fish sauce,an amber-coloured liquid extracted from the fermentation of fish with sea salt
22812,prahok,"crushed, salted and fermented fish paste used in Cambodian cuisine"
22813,pla ra,Southeast Asian fermented fish seasoning
22814,ngapi,ငါးပိ
22815,worcestershire sauce,sauce
22816,doro sauce,Japanese sauce
22817,garum,fermented fish sauce used as a condiment
22818,xo sauce,spicy seafood sauce from Hong Kong
22819,shrimp paste,fermented condiment
22820,surimi,"meat paste, usually made from fish"
22821,hampen,food in Japan
22822,jakoten,Fried surimi
22824,agekamaboko,Japanese fried surimi
22826,satsuma age,Fried fishcake from Japan
22827,jakoten,Fried surimi
22829,fish katsu,"Fried fishcake from Tokushima prefecture, Japan"
22830,frozen surimi,food
22831,colatura di alici,Italian fish sauce made from anchovies fermented in brine
22832,pissalat,French condiment made from anchovies
22833,bagoong terong,common ingredient used in the Philippines and particularly in Northern Ilocano cuisine
22834,mahyawa,Sauce
22835,anchovy essence,"thick, oily sauce of pounded anchovies and spices"
22836,bagoong,Philippine fermented fish condiment
22837,budu,Fish sauce originating from Kelantan
22838,cincalok,Malay shrimp condiment
22839,padaek,traditional Lao condiment made from pickled or fermented fish that has been cured
22840,phu quoc fish sauce,Vietnamese fish sauce
22841,shottsuru,Japanese fish sauce
22842,bagoong monamon,philppine food ingredient made by fermenting salted anchovies
22843,nc mm,fish sauce in Vietnamese cuisine
22844,thasian sauce,"fish sauce from Thasos, used as a condiment in the cuisines of ancient Greece"
22845,tiparos,food brand and company
22847,surströmming,fermented herring with a strong connection to northern Sweden
22848,kusaya,Salted-dried and fermented fish produced in the Izu Islands
22849,hákarl,national dish of Iceland consisting of fermented shark
22851,cantonese salted fish,traditional Chinese food originating from Guangdong province
22852,rui be,Japanese frozen raw salmon dish
22853,shark meat,flesh from sharks
22855,asian carp in north america,invasive species
22856,raw fish,any type of uncooked muscle tissue of a fish used for food
22858,külloströmling,Estonian fish
22859,tinca gobba dorata del pianalto di poirino,variety of fish
22861,herring,"forage fish, mostly belonging to the family Clupeidae"
22862,cut of fish,"part of a fish, like filet"
22863,médaillon,"small, flat, round or oval portion of meat or fish without bones"
22864,fish fillet,the flesh of a fish which has been cut or sliced away from the bone by cutting lengthwise along one side of the fish parallel to the backbone
22865,tuna filet,filet of a tuna fish
22866,pike filet,part of a fish
22867,plaice fillet,fillet of a plaice fish
22868,perch fillet,fillet of the perch fish
22869,trout fillet,fillet of the trout fish
22870,rose fish filet,filet of the rose fish
22871,bream filet,filet of the bream fish
22872,cod fillet,fillet of a cod fish
22873,carp fillet,fillet of a carp fish
22874,salmon fillet,fillet of a salmon fish
22875,salmon trout fillet,fillet of the salmon trout
22876,salmon cutlet,cutlet of a salmon fish
22877,ling fish fillet,fillet of the ling fish
22878,red bream fillet,fillet of red bream
22880,zander fillet,fillet of the zander fish
22881,sea bass fillet,fillet of a sea bass
22882,haddock fish fillet,fillet from haddock fish
22883,hake fillet,fillet of the hake fish
22884,monkfish fillet,fillet of the monkfish
22885,monkfish tail,tail of the monkfish
22886,sole fillet,fillet of the flatfish
22887,spined loach fillet,fillet from spined loach
22888,turbot fillet,fillet of a turbot
22889,ray wings,wings of the ray fish
22890,pangasius filet,filet of the pangasius fish
22891,tench filet,part of tench
22892,spined loach filet,part of spined loach
22893,salted herring filet,part of salted herring
22894,carp filet,fillet of a carp fish
22895,pike fish,type of fish
22896,pike filet,part of a fish
22897,fish broth,broth made of fish
22898,ling fish,type of fish. for the animal Q842406
22899,ling fish fillet,fillet of the ling fish
22901,red bream,type of fish
22902,red bream fillet,fillet of red bream
22903,haddock fish,type of fish
22904,haddock fish fillet,fillet from haddock fish
22905,tench fish,type of fish
22906,nile perch,type of fish
22907,flatfish,type of fish
22908,flounder,group of fish species
22909,sole,fish name belonging to several families
22910,sole fillet,fillet of the flatfish
22913,salmonidae,used as a food ingredient
22915,pacific salmon,species of salmon in the genus Oncorhynchus that live in the North Pacific Ocean
22916,coho salmon meat,flesh from Oncorhynchus kisutch
22917,ray,flesh from rays and skates
22919,edible seaweed,algae that can be eaten and used in the preparation of food
22920,nori,edible seaweed species of the red algae genus Pyropia
22925,wakame,edible seaweed
22928,kombu,edible kelp
22929,sukombu,vinegared kelp
22930,shiokombu,salted kelp
22932,chilli crab,"Singaporean dish of mud crabs stir-fried in a semi-thick, sweet and savoury tomato and chilli sauce"
22933,prawn,common name applied to large swimming crustaceans
22935,common dab,species of fish
22936,clam,common name for several kinds of bivalve molluscs
22938,invasive clam,clam that is spreading outside its original habitat
22939,shrimp,decapod crustaceans
22940,prawns from palamós,species of crustacean
22941,shrimp shells,shell or exoskeleton of shrimps
22942,shrimp stock,broth obtained from shrimp shells or shrimps
22943,rose fish,species of rockfish from the North Atlantic
22944,crayfish,flesh from crayfish
22945,red snapper,species of fish
22946,dried seafood,type of conserving food
22947,trout,number of species of freshwater fish
22949,salmon,common idea of a fish in the trout family
22950,halibut,"common name, for edible fishes"
22951,herring,"forage fish, mostly belonging to the family Clupeidae"
22952,plaice,common name for a group of flatfish
22953,flounder,group of fish species
22954,clam cake,seafood dish
22955,cod as food,Gadidae fishes in human nutrition and cooking
22957,shellfish,culinary and fisheries term for exoskeleton-bearing aquatic invertebrates
22958,oyster,salt-water bivalve mollusc
22959,clam,common name for several kinds of bivalve molluscs
22961,lobster,shellfish
22962,george,American lobster (b. 1869)
